COMID,Study_ID,StationID,WaterbodyName,CountyName,Latitude,Longitude,EcoL3Code,ECOREG3,HUC12,RefSiteFlag
23207974,WHM_WAM0,WAM06600_009895,WAM06600-009895,Chelan,47.6629287,-120.2338295,10,Columbia Plateau,HUC-170200100209,0
24248604,WHM_WAM0,WAM06600_011061,"TOUTLE RIVER, SOUTH FORK",Cowlitz,46.2277,-122.401,4,Cascades,HUC-170800050603,0
22994875,WHM_WAM0,WAM06600_011740,PEND OREILLE RIVER AT 54.3,Pend Oreille,48.537814,-117.301479,15,Northern Rockies,HUC-170102160305,0
23099666,WHM_WAM0,WAM06600_012453,YAKIMA RIVER TRIBUTARY FROM BYRON PONDS,Yakima,46.193071,-119.883464,10,Columbia Plateau,HUC-170300031004,0
23080562,WHM_WAM0,WAM06600_013383,WAM06600-013383,Chelan,47.54429359,-120.562726,77,North Cascades,HUC-170200110707,0
22994889,WHM_WAM0,WAM06600_015244,PEND OREILLE RIVER AT RM 61.3,Pend Oreille,48.462566,-117.307686,15,Northern Rockies,HUC-170102160207,0
22994795,WHM_WAM0,WAM06600_017852,PEND OREILLE RIVER AT RM 45,Pend Oreille,48.651216,-117.370255,15,Northern Rockies,HUC-170102160307,0
22995139,WHM_WAM0,WAM06600_019048,WAM06600-019048,Pend Oreille,48.25327,-117.23508,15,Northern Rockies,HUC-170102160203,0
22994795,WHM_WAM0,WAM06600_021404,WAM06600-021404,Pend Oreille,48.63877,-117.36753,15,Northern Rockies,HUC-170102160307,0
23099686,WHM_WAM0,WAM06600_034965,YAKIMA RIVER TRIBUTARY NEAR HORSHOE LAKE,Yakima,46.25438,-120.071867,10,Columbia Plateau,HUC-170300031003,0
24125421,WHM_WAM0,WAM06600_040922,YAKIMA RIVER TRIBUTARY BELOW STRANDE RD,Kittitas,46.984127,-120.594344,10,Columbia Plateau,HUC-170300010511,0
23963011,WHM_WHM0,WHM07620_190816,SKYKOMISH RIVER,Snohomish,47.85664781,-121.7280582,2,Puget Lowland,HUC-171100090603,0
24270468,WHM_WHM0,WHM07620_218220,SKAGIT RIVER,Skagit,48.51380533,-121.9155106,77,North Cascades,HUC-171100070105,0
23989721,WHM_WHM0,WHM07620_286953,CLOVOS PASSAGE TRIBUTARY,King,47.45707497,-122.5045692,2,Puget Lowland,HUC-171100190403,0
23955878,WHM_WHM0,WHM07620_408826,NOOKSACK RIVER,Whatcom,48.89688097,-122.3328433,2,Puget Lowland,HUC-171100040503,0
24282064,WHM_WHM0,WHM07620_481854,ALDER LAKE TRIBUTARY,Lewis,46.75548561,-122.2302497,4,Cascades,HUC-171100150112,0
24534792,WHM_BIO,BIO06600_AUST02,AUSTIN CREEK,Whatcom,48.70792,-122.34374,2,Puget Lowland,HUC-171100040602,0
23663589,WHM_BIO,BIO06600_BACO09,BACON CREEK,Yakima,46.07759,-121.28797,9,Eastern Cascades Slopes and Foothills,HUC-170701060210,0
23864308,WHM_BIO,BIO06600_BEAR01,BEAR BRANCH RIVER,Pacific,46.32931,-123.90847,1,Coast Range,HUC-171001060505,0
24505842,WHM_BIO,BIO06600_BEAR04,BEAR CREEK,Skamania,45.78688,-121.8043,4,Cascades,HUC-170701051007,1
24287296,WHM_BIO,BIO06600_BEEF02,BIG BEEF CREEK 2905 METERS ABOVE MOUTH,Kitsap,47.628771,-122.791571,2,Puget Lowland,HUC-171100180107,0
24287936,WHM_BIO,BIO06600_BIGA02,ANDERSON CREEK,Kitsap,47.56505555,-122.951465,2,Puget Lowland,HUC-171100180107,0
24282158,WHM_BIO,BIO06600_BIGC04,BIG CREEK,Lewis,46.70934,-121.87491,4,Cascades,HUC-171100150106,0
23664607,WHM_BIO,BIO06600_BIRD09,BIRD CREEK,Yakima,46.08236,-121.37966,9,Eastern Cascades Slopes and Foothills,HUC-170701060204,0
24275333,WHM_BIO,BIO06600_BLAC77,BLACK CREEK,Snohomish,48.04979,-121.71737,77,North Cascades,HUC-171100080203,0
23082724,WHM_BIO,BIO06600_BLPN77,BLACK PINE CREEK,Chelan,47.60836,-120.95036,77,North Cascades,HUC-170200110404,0
24287894,WHM_BIO,BIO06600_BOYC02,BOYCE CREEK,Kitsap,47.60896555,-122.908085,2,Puget Lowland,HUC-171100180107,0
24285618,WHM_BIO,BIO06600_BROW01,BROWN CREEK,Mason,47.41354,-123.31628,1,Coast Range,HUC-171100170101,0
23027840,WHM_BIO,BIO06600_BURP15,BURPING BROOK,Spokane,47.88913,-117.13055,15,Northern Rockies,HUC-170103080302,0
23997382,WHM_BIO,BIO06600_CANY02,CANYON CREEK,Clallam,48.02297352,-123.1411187,2,Puget Lowland,HUC-171100200306,0
23981325,WHM_BIO,BIO06600_CAYA04,CAYADA CREEK,Pierce,47.014332,-121.85752,4,Cascades,HUC-171100140102,0
24227979,WHM_BIO,BIO06600_CHAR11,CHARLEY CREEK,Garfield,46.26138,-117.47611,11,Blue Mountains,HUC-170601030204,0
23845243,WHM_BIO,BIO06600_CHRI01,CHRISTMAS CREEK,Jefferson,47.6567,-124.22219,1,Coast Range,HUC-171001020105,0
24534372,WHM_BIO,BIO06600_CHUC02,CHUCKANUT CREEK,Whatcom,48.70193,-122.48191,2,Puget Lowland,HUC-171100040604,0
23838926,WHM_BIO,BIO06600_COAL01,COAL CREEK,Clallam,47.97025,-124.58839,1,Coast Range,HUC-171001010303,0
24125267,WHM_BIO,BIO06600_COLE10,COLEMAN CREEK,Kittitas,47.11148872,-120.3962881,10,Columbia Plateau,HUC-170300010403,1
23442859,WHM_BIO,BIO06600_COUG11,COUGAR CREEK,Asotin,46.04873,-117.32791,11,Blue Mountains,HUC-170601060709,1
24228215,WHM_BIO,BIO06600_COUS10,COUSE CREEK,Asotin,46.1955,-116.99205,10,Columbia Plateau,HUC-170601030302,0
24397776,WHM_BIO,BIO06600_CRAB10,CRAB CREEK,Lincoln,47.29729572,-118.2485818,10,Columbia Plateau,HUC-170200130305,0
23861209,WHM_BIO,BIO06600_DAVI01,DAVIS CREEK,Grays Harbor,47.07544,-123.94098,1,Coast Range,HUC-171001050201,1
24249262,WHM_BIO,BIO06600_DEER04,DEER CREEK,Cowlitz,46.28466,-122.46266,4,Cascades,HUC-170800050504,0
24288106,WHM_BIO,BIO06600_DEWA02,DEWATTO CREEK,Mason,47.46906,-123.02571,2,Puget Lowland,HUC-171100180105,1
23663451,WHM_BIO,BIO06600_DIAM09,DIAMOND FORK CREEK,Yakima,46.46483,-121.19739,9,Eastern Cascades Slopes and Foothills,HUC-170701060102,0
24255845,WHM_BIO,BIO06600_DIOB77,DIOBSUD CREEK,Skagit,48.57415,-121.43037,77,North Cascades,HUC-171100050904,1
23091213,WHM_BIO,BIO06600_DOUG10,DOUGLAS CREEK,Douglas,47.467583,-119.87562,10,Columbia Plateau,HUC-170200120307,0
24287056,WHM_BIO,BIO06600_DUCK01,BIO06600-DUCK01,Jefferson,47.68127,-123.02046,1,Coast Range,HUC-171100180402,0
24520812,WHM_BIO,BIO06600_ELOC01,"ELOCHOMAN RIVER, WEST FORK",Wahkiakum,46.32067,-123.26037,1,Coast Range,HUC-170800030701,0
24270494,WHM_BIO,BIO06600_FINN77,FINNEY CREEK,Skagit,48.45703,-121.70823,77,North Cascades,HUC-171100070102,0
24126693,WHM_BIO,BIO06600_FIRS09,FIRST CREEK,Kittitas,47.21938,-120.60433,9,Eastern Cascades Slopes and Foothills,HUC-170300010502,0
24384115,WHM_BIO,BIO06600_GOLD77,"GOLD CREEK, SOUTH FORK",Okanogan,48.15801,-120.1465,77,North Cascades,HUC-170200080703,0
23970369,WHM_BIO,BIO06600_GRAN77,GRANITE CREEK,King,47.49413,-121.64064,77,North Cascades,HUC-171100100205,0
23460747,WHM_BIO,BIO06600_HOGC10,HOG CANYON CREEK,Spokane,47.36783455,-117.8113505,10,Columbia Plateau,HUC-170601080602,0
24538152,WHM_BIO,BIO06600_HOLD02,HOLDER CREEK,King,47.43428382,-121.9693565,2,Puget Lowland,HUC-171100120201,0
23981025,WHM_BIO,BIO06600_HUCK04,HUCKLEBERRY RIVER,Pierce,47.00859,-121.61735,4,Cascades,HUC-171100140302,0
23838952,WHM_BIO,BIO06600_HYAS01,HYAS CREEK,Clallam,47.96215,-124.25596,1,Coast Range,HUC-171001010402,0
23744078,WHM_BIO,BIO06600_JOHN04,JOHNSON CREEK,Lewis,46.51819,-121.59935,4,Cascades,HUC-170800040205,0
23442453,WHM_BIO,BIO06600_JOSE11,JOSEPH CREEK,Asotin,46.02757,-117.01822,11,Blue Mountains,HUC-170601060607,0
22994811,WHM_BIO,BIO06600_LOST15,LOST CREEK TRIBUTARY,Pend Oreille,48.64396,-117.43632,15,Northern Rockies,HUC-170102160306,0
23442075,WHM_BIO,BIO06600_MENA11,MENATCHEE CREEK,Asotin,46.01214,-117.36668,11,Blue Mountains,HUC-170601060704,0
22995787,WHM_BIO,BIO06600_MFLU15,"FLUME CREEK, MIDDLE FORK",Pend Oreille,48.90281,-117.3856,15,Northern Rockies,HUC-170102160904,0
23046843,WHM_BIO,BIO06600_MMIL15,"MILL CREEK, MIDDLE FORK",Stevens,48.65078,-117.68265,15,Northern Rockies,HUC-170200030301,0
24505312,WHM_BIO,BIO06600_MORR09,MORRISON CREEK,Skamania,46.07572,-121.53425,9,Eastern Cascades Slopes and Foothills,HUC-170701050802,0
23081688,WHM_BIO,BIO06600_MOUN77,MOUNTAINEER CREEK,Chelan,47.52688,-120.82205,77,North Cascades,HUC-170200110405,0
24125371,WHM_BIO,BIO06600_NANE09,NANEUM CREEK,Kittitas,47.27379,-120.5394,9,Eastern Cascades Slopes and Foothills,HUC-170300010401,0
23099934,WHM_BIO,BIO06600_NFFO09,"FOUNDATION CREEK, NORTH FORK",Yakima,46.537468,-121.050554,9,Eastern Cascades Slopes and Foothills,HUC-170300030102,1
22989813,WHM_BIO,BIO06600_NGOO15,"GOOSE CREEK, NORTH FORK",Pend Oreille,48.42512,-117.06072,15,Northern Rockies,HUC-170102150402,1
23031366,WHM_BIO,BIO06600_NHUN15,"HUNTER'S CREEK, NORTH FORK",Stevens,48.13089,-118.05025,15,Northern Rockies,HUC-170200011701,0
24285538,WHM_BIO,BIO06600_NSKO01,"SKOKOMISH RIVER, NORTH FORK",Mason,47.52589,-123.3455,1,Coast Range,HUC-171100170202,0
24126279,WHM_BIO,BIO06600_NTAN09,"TANEUM CREEK, NORTH FORK",Kittitas,47.11458,-120.95882,9,Eastern Cascades Slopes and Foothills,HUC-170300010503,1
24424727,WHM_BIO,BIO06600_OAKC10,OAK CREEK,Yakima,46.72987,-120.87807,10,Columbia Plateau,HUC-170300020307,0
24534912,WHM_BIO,BIO06600_OYST02,OYSTER CREEK,Skagit,48.61868,-122.4395,2,Puget Lowland,HUC-171100020301,0
23065089,WHM_BIO,BIO06600_PETT15,PETTIJOHN CREEK,Okanogan,48.75813,-119.082,15,Northern Rockies,HUC-170200061702,0
23850901,WHM_BIO,BIO06600_PORT01,PORTER CREEK,Grays Harbor,46.97979,-123.25091,1,Coast Range,HUC-171001030510,0
22989087,WHM_BIO,BIO06600_PRIE15,"PRIEST RIVER, UPPER WEST BRANCH",Pend Oreille,48.54862,-117.10509,15,Northern Rockies,HUC-170102150401,0
23963629,WHM_BIO,BIO06600_QUAR77,QUARTZ CREEK,Snohomish,47.92627,-121.27933,77,North Cascades,HUC-171100090401,0
23956266,WHM_BIO,BIO06600_RACE77,RACEHORSE CREEK,Whatcom,48.86785,-122.04365,77,North Cascades,HUC-171100040203,1
24383607,WHM_BIO,BIO06600_ROBI77,ROBINSON CREEK,Okanogan,48.66164,-120.54063,77,North Cascades,HUC-170200080202,0
947110254,WHM_BIO,BIO06600_ROCK02,ROCK CREEK,King,47.41433,-121.88808,2,Puget Lowland,HUC-171100120105,0
23470808,WHM_BIO,BIO06600_ROCK10,ROCK CREEK,Whitman,47.003,-117.94511,10,Columbia Plateau,HUC-170601090407,0
23638316,WHM_BIO,BIO06600_ROFO11,ROBINSON FORK,Columbia,46.20751,-117.89944,11,Blue Mountains,HUC-170701020303,0
24241991,WHM_BIO,BIO06600_RUSH04,TRIBUTARY TO RUSH CREEK,Skamania,46.04297,-121.85934,4,Cascades,HUC-170800020109,1
24228047,WHM_BIO,BIO06600_SASO10,"ASOTIN CREEK, SOUTH FORK",Asotin,46.21546,-117.28555,10,Columbia Plateau,HUC-170601030203,0
23857127,WHM_BIO,BIO06600_SCHA01,SCHAFER CREEK,Grays Harbor,47.22396,-123.6134,1,Coast Range,HUC-171001040202,1
24287872,WHM_BIO,BIO06600_SEAB02,SEABECK CREEK,Kitsap,47.62811,-122.83717,2,Puget Lowland,HUC-171100180107,0
24423517,WHM_BIO,BIO06600_SFCO10,"COWICHE CREEK, SOUTH FORK",Yakima,46.66085,-120.764,10,Columbia Plateau,HUC-170300020311,0
24126821,WHM_BIO,BIO06600_SHAD09,SHADOW CREEK,Kittitas,47.09817,-120.87213,9,Eastern Cascades Slopes and Foothills,HUC-170300010504,0
24120872,WHM_BIO,BIO06600_SINL77,SINLAHEKIN CREEK,Okanogan,48.69781,-119.7722,77,North Cascades,HUC-170200071901,0
24265827,WHM_BIO,BIO06600_SKUL77,SKULL CREEK,Snohomish,48.118561,-121.401193,77,North Cascades,HUC-171100060106,1
23997702,WHM_BIO,BIO06600_SLIT01,"LITTLE RIVER, SOUTH BRANCH",Clallam,48.05199,-123.50697,1,Coast Range,HUC-171100200511,0
23639976,WHM_BIO,BIO06600_SPAN11,SPANGLER CREEK,Columbia,46.1483,-117.8035,11,Blue Mountains,HUC-170701020301,0
23031756,WHM_BIO,BIO06600_SSHE15,"SHERMAN CREEK, SOUTH FORK",Ferry,48.55165,-118.41714,15,Northern Rockies,HUC-170200011301,0
24126305,WHM_BIO,BIO06600_STAN09,"TANEUM CREEK, SOUTH FORK",Kittitas,47.09394,-120.9969,9,Eastern Cascades Slopes and Foothills,HUC-170300010503,1
24265197,WHM_BIO,BIO06600_STRA77,STRAIGHT CREEK,Snohomish,48.26273,-121.40356,77,North Cascades,HUC-171100060303,0
23744220,WHM_BIO,BIO06600_SUMM04,SUMMIT CREEK,Lewis,46.70292,-121.48184,4,Cascades,HUC-170800040101,0
23977778,WHM_BIO,BIO06600_SUND04,SUNDAY CREEK,King,47.25358,-121.3832,4,Cascades,HUC-171100130103,0
22995597,WHM_BIO,BIO06600_SWEE15,SWEET CREEK,Pend Oreille,48.824346,-117.409832,15,Northern Rockies,HUC-170102160902,0
23041137,WHM_BIO,BIO06600_TONA15,TONATA CREEK,Ferry,48.86945,-118.76824,15,Northern Rockies,HUC-170200021701,0
24125275,WHM_BIO,BIO06600_TRCO09,COLEMAN CREEK TRIBUTARY,Kittitas,47.224233,-120.348956,9,Eastern Cascades Slopes and Foothills,HUC-170300010403,0
23449129,WHM_BIO,BIO06600_TUCA11,TUCANNON RIVER,Garfield,46.18462,-117.60728,11,Blue Mountains,HUC-170601070601,1
24423763,WHM_BIO,BIO06600_UNIO04,UNION CREEK,Yakima,46.93456,-121.35853,9,Eastern Cascades Slopes and Foothills,HUC-170300020106,0
22995411,WHM_BIO,BIO06600_USLA15,UPPER SLATE CREEK,Pend Oreille,48.95702,-117.24484,15,Northern Rockies,HUC-170102160903,0
24383975,WHM_BIO,BIO06600_WARC77,WAR CREEK,Okanogan,48.36455,-120.40573,77,North Cascades,HUC-170200080504,0
23736213,WHM_BIO,BIO06600_WASH04,WASHOUGAL RIVER,Skamania,45.70816,-122.12436,4,Cascades,HUC-170800010602,1
24127945,WHM_BIO,BIO06600_WILS09,WILSON CREEK,Kittitas,47.22722,-120.55807,9,Eastern Cascades Slopes and Foothills,HUC-170300010408,0
23856993,WHM_BIO,BIO06600_WISH01,WISHKAH RIVER,Grays Harbor,47.150935,-123.754883,1,Coast Range,HUC-171001040303,0
23962963,WHM_BIO,BIO06600_YOUN02,YOUNGS CREEK,Snohomish,47.80636568,-121.8250149,2,Puget Lowland,HUC-171100090702,1
23839618,WHM_ERR0,ERR06600_000379,MINTER CREEK TRIBUTARY,Jefferson,47.815148,-124.402552,1,Coast Range,HUC-171001010801,0
23990481,WHM_ERR0,ERR06600_000451,"MCSORLEY CREEK, 849 M FROM MOUTH",King,47.375829,-122.314878,2,Puget Lowland,HUC-171100190204,0
23865862,WHM_ERR0,ERR06600_000605,NEMAH RIVER TRIBUTARY,Pacific,46.454795,-123.738605,1,Coast Range,HUC-171001060402,1
23663303,WHM_ERR0,ERR06600_000753,TROUT CREEK,Yakima,46.061872,-121.213171,9,Eastern Cascades Slopes and Foothills,HUC-170701060201,0
23956958,WHM_ERR0,ERR06600_000992,KENNEY CREEK TRIBUTARY,Whatcom,48.857139,-122.121388,77,North Cascades,HUC-171100040203,0
24001425,WHM_ERR0,ERR06600_001908,"HERMAN CREEK, EAST BRANCH TRIBUTARY",Clallam,48.176924,-124.370372,1,Coast Range,HUC-171100210703,0
23980385,WHM_ERR0,ERR06600_003022,PUYALLUP RIVER AT RM 12.2,Pierce,47.185021,-122.230669,2,Puget Lowland,HUC-171100140501,0
23845299,WHM_ERR0,ERR06600_003303,DECEPTION CREEK TRIBUTARY,Jefferson,47.6337,-124.15,1,Coast Range,HUC-171001020105,0
23839486,WHM_ERR0,ERR06600_003791,SCOTT CREEK,Jefferson,47.8774,-124.55,1,Coast Range,HUC-171001010802,0
23022156,WHM_ERR0,ERR06600_004100,"CHAMOKANE CREEK, SOUTH FORK TRIBUTARY",Stevens,48.048128,-118.020742,15,Northern Rockies,HUC-170103070201,0
23031316,WHM_ERR0,ERR06600_004187,INDIAN CREEK,Lincoln,47.761903,-118.192606,10,Columbia Plateau,HUC-170200011803,0
23956264,WHM_ERR0,ERR06600_005232,RACEHORSE CREEK AT 606 METERS ELEVATION,Whatcom,48.874767,-122.062089,77,North Cascades,HUC-171100040203,0
22996767,WHM_ERR0,ERR06600_006644,"CALISPELL CREEK, SOUTH FORK TRIBUTARY",Pend Oreille,48.202388,-117.389714,15,Northern Rockies,HUC-170102160104,0
24248678,WHM_ERR0,ERR06600_006745,ALDER CREEK TRIBUTARY,Cowlitz,46.329211,-122.537528,4,Cascades,HUC-170800050504,0
23451797,WHM_ERR0,ERR06600_011449,TUCANNON RIVER TRIBUTARY,Columbia,46.37108,-117.75489,10,Columbia Plateau,HUC-170601070606,0
23031428,WHM_ERR0,ERR06600_020824,CHEWEKA CREEK,Stevens,48.404258,-118.082423,15,Northern Rockies,HUC-170200011308,1
23065295,WHM_ERR0,ERR06600_049208,LOUP LOUP CREEK AT 940 M ELEV,Okanogan,48.475927,-119.767438,77,North Cascades,HUC-170200062201,0
24538380,SAM_PSS,PSS05515_000391,COAL CREEK,King,47.559867,-122.170087,2,Puget Lowland,HUC-171100120400,0
23990481,SAM_PSS,PSS05515_000451,"MCSORLEY CREEK, 944 M FROM MOUTH",King,47.375259,-122.315089,2,Puget Lowland,HUC-171100190204,0
23978126,SAM_PSS,PSS05515_000814,NEWAUKUM CREEK TRIBUTARY,King,47.242882,-121.937742,2,Puget Lowland,HUC-171100130303,0
23997380,SAM_PSS,PSS05515_000831,CANYON CREEK,Clallam,48.024222,-123.138202,2,Puget Lowland,HUC-171100200306,0
24538120,SAM_PSS,PSS05515_000859,NORTH CREEK,Snohomish,47.77975,-122.187981,2,Puget Lowland,HUC-171100120302,0
23990595,SAM_PSS,PSS05515_001454,WEST HYLEBOS CREEK,Pierce,47.253482,-122.333499,2,Puget Lowland,HUC-171100190205,0
24538132,SAM_PSS,PSS05515_003691,SWAMP CREEK,Snohomish,47.825567,-122.255255,2,Puget Lowland,HUC-171100120303,0
24288178,SAM_PSS,PSS05515_003875,STIMSON CREEK,Mason,47.423735,-122.913997,2,Puget Lowland,HUC-171100180103,0
23970823,SAM_PSS,PSS05515_005879,STOSSEL CREEK,King,47.729177,-121.851739,2,Puget Lowland,HUC-171100100505,0
23997630,SAM_PSS,PSS05515_005892,PEDERSON CREEK,Clallam,48.058276,-123.261552,2,Puget Lowland,HUC-171100200401,0
23990435,SAM_PSS,PSS05515_006227,LITTLE MINTER CREEK,Pierce,47.389609,-122.681373,2,Puget Lowland,HUC-171100190701,0
23981639,SAM_PSS,PSS05515_007726,WAPATO CREEK,Pierce,47.245261,-122.370452,2,Puget Lowland,HUC-171100190205,0
23990271,SAM_PSS,PSS05515_009831,CROUCH CREEK TRIBUTARY,Kitsap,47.650827,-122.632377,2,Puget Lowland,HUC-171100190706,0
23977824,SAM_PSS,PSS05515_010563,LITTLE SOOS CREEK,King,47.3579,-122.12576,2,Puget Lowland,HUC-171100130302,0
23990541,SAM_PSS,PSS05515_013054,DUMAS BAY TRIBUTARY,King,47.322384,-122.365473,2,Puget Lowland,HUC-171100190204,0
